,Unnamed: 0,Datetime,Tweet Id,Text,Username
0,0,2019-09-18 23:50:12+00:00,1174470708438560768,RUU KUHP yang Berusia 50 Tahun Bakal Disahkan DPR DPR RI dan pemerintah sudah me,galxxs
1,1,2019-09-18 23:49:21+00:00,1174470495804084224,Ente kenapa tertawa bro oposisi juga setuju sama tuh RUU KUHP jadi sama aja baik di kubu pemerintah maupun kubu oposisi Yang bisa tertawa sekarang hanya golput,mizardaahc
2,2,2019-09-18 23:40:17+00:00,1174468213142212609,Kok lucu Fakta2 yg loe sebutkan bukan berarti perbuatan itu mnjadi legal Setidaknya anggta dpr lbh baik mreka sdh mengakui perbuatn itu salah via uu kuhp dibanding loe yg masih justifikasi,Andriyan_syahh
3,3,2019-09-18 23:26:50+00:00,1174464829962080256,CRYING OVER KUHP adalah jalan ninjaku ket wingi asli aku nangis ngejer cok gatau kenapa takut,kekadalan
4,4,2019-09-18 23:19:54+00:00,1174463086628966401,KUHP kate ngelangkahi UUD Wkwkwk tuman,sur_wib
5,5,2019-09-18 23:01:14+00:00,1174458388534743041,puji sukur alhamdulillah negara ini butuh uang dgn cara apapun hal ini kalau tdk salah lngat 100 thn yg lalu saya perna berdoa agar RUU KUHP amp UU KPK dikebiri saja atau tdk perlu ada HUKUM namun sukurlah diusia saya yg 67 ini baru Allah SWT mengabulkan doa saya,Jebes_NTB
6,6,2019-09-18 22:36:26+00:00,1174452147015933953,Itu ngelengkapin KUHP yang ala negeri kincir angin aja dan itu delik aduan,AGBFatria
7,7,2019-09-18 22:31:32+00:00,1174450914817495040,AS RI Hehe masih enak pakai kuhp belanda ya hal,irwan24tanjung
8,8,2019-09-18 22:25:19+00:00,1174449349167738881,Tambah satu lagi ruu kuhp yg mau disahkan cacat isinya,laducinggg
9,9,2019-09-18 21:32:23+00:00,1174436027831701504,azhar Karna Uang Habis Perkara Itulah KUHP,Moro26424364
10,10,2019-09-18 21:27:24+00:00,1174434774116491266,ZQ RI Kalo udah begini ngga akan disahkan itu RUU PKS Karena tumpang tindih dng KUHP yg baru disahkan,uyaboira
11,11,2019-09-18 21:25:00+00:00,1174434167385403392,ZQ Segitu detailnya diurus KUHP Giling makin gak nyaman,triefince
12,12,2019-09-18 19:54:23+00:00,1174411364871229440,Itu dosennya ajah belum tentu bisa ngejelasin KUHP yang baru hahaha,za_ka
13,13,2019-09-18 18:55:39+00:00,1174396582629822464,Yaudah sih tidur doang kalo nyantet orang rame rame baru bisa dijerat pasal KUHP,mooncreamsicle
14,14,2019-09-18 18:17:49+00:00,1174387063564619776,iwan kalo ga ada ruu pks pun zina buat yg tidak menikah dan hubungan sesama jenis belum ada yg atur kalo prostitusi ada di kuhp untuk mucikarinya entah psknya sukarela ataupun engga mucikari tetep bisa kejerat hukum untuk psk memang belum ada,badakbuncit
15,15,2019-09-18 18:10:10+00:00,1174385136848125954,minggat sebelum ditimpuk buku kuhp,wonwocc
16,16,2019-09-18 18:09:00+00:00,1174384842756116480,Kalau dari kasus Bima Aryo di KUHP yang sekarang kan ada kealpaan suu Yalord utekmu lho rek,childishgambira
17,17,2019-09-18 18:07:18+00:00,1174384417952808960,Ada dan seharusnya gak dihukum karna dia membela diri sendiri atau orang lain Ada di pasal 48 sama 49 kuhp Tapi terkecuali sebelumnya ada kayak emosi yang belum terselesaikan aku kasih contoh perumpaan deh Contoh si pembegal dan korban sudah kenal terlebih dahulu,exeplicit
18,18,2019-09-18 18:04:32+00:00,1174383720679137280,Tunda ruu kuhp bang,Opamp308
19,19,2019-09-18 17:57:32+00:00,1174381957221732352,Makanya dorong pengesahan RUU P KS dan kawal revisi kuhp,insaviii
20,20,2019-09-18 17:53:21+00:00,1174380903813939200,Ampuuuun Habis ini pimpinan baru semua Makin sedih aja uu kpk kuhp asap semalam chelsea kalah,Macrus_
21,21,2019-09-18 17:52:14+00:00,1174380626536886273,Jd intinya sifat hukum itu dinamis dr tahun ke tahun pasti ada perubahan hukum jg pasti harus diperbaharui Karena itu Indonesia perlu merevisi KUHP lama Pelaksanaan RKUHP sudah direncanakan sejak tahun 1963 dan faktanya RKUHP tidak pernah disahkan selama kurang lebih 56 thn,kyasalvatore
22,22,2019-09-18 17:30:05+00:00,1174375049916121088,sani Pendapat awam KUHP jaman ini saat ini membuktikan orang2 pemerintahan DPR maybe jaman dahulu kala 100 tahun silam jauh lebih nasionalis lebih cerdas lebih masuk akal dan berakal sehat dan budi pekerti dan semua yg bisa di terima masyarakat luas drp YANG SEKARANG,Hizkia_Heredion
23,23,2019-09-18 17:26:41+00:00,1174374192684265472,aldopr wkwkwkwkkwkw enak ya yang kuliahnya abis kuhp baru keluar,lavachocs
24,24,2019-09-18 17:25:57+00:00,1174374011356078081,Harus baca lagi ini banyak paradigma baru hmm brrt selama ini sia2 dong ya bljr kuhp lama,aldo_aldopr
25,25,2019-09-18 17:24:47+00:00,1174373715150159873,aldopr aldo nanti ngafalin kuhp lg ya do ahaha,lavachocs
26,26,2019-09-18 16:52:32+00:00,1174365601646514176,azhar Idenya ya harus BATALkan KUHP nya itu bang Kalau DPR mau,YaldiYakoub
27,27,2019-09-18 16:49:53+00:00,1174364931883331584,Awas lu ati ati kena uu kuhp zina yang baru,fleureese
28,28,2019-09-18 16:45:28+00:00,1174363823555264512,gasp Ini kalo ruu kuhp udh di sahin mah ngandang lu bu wkwkw,hhuwaidi_
29,29,2019-09-18 16:34:40+00:00,1174361106116046848,Kuhp itu kan hukum pidana pidana itu pasti ada aduan gak bisa asal tangkap,yasin_habib
30,30,2019-09-18 16:33:08+00:00,1174360717442420736,Yg bikin RUU KUHP nya pasti lulusan PAUD,GaulWito
31,31,2019-09-18 16:26:44+00:00,1174359106376716288,Haha iyee gw gembok sowiii Bur Ntar kena Kuhp lagi wkwk,sheisdini_
32,32,2019-09-18 16:18:06+00:00,1174356934415147009,Susah kak Kalo pemerintah dan lawmakers nya sama2 punya political will apalagi punya visi yg sama buat bikin KUHP dengan kearifan lokal prosesnya bakal smooth semulus rambut Anggun C Sasmi di iklan pantene,ghinaghaliya
33,33,2019-09-18 16:14:21+00:00,1174355991602720769,Ahhh lu Moen kagak usah heran itu pasal dukun santet aja masuk kuhp kurang tolol apa coba,sinyo_swana
34,34,2019-09-18 16:13:53+00:00,1174355874392899584,Iyo cok maringene revisi ruu kuhp,sleeplessfreak_
35,35,2019-09-18 16:08:30+00:00,1174354518797996032,Tidak ada oposisi dalam melemahkan KPK seluruh partai kompak dalam satu agenda Istana dan Senayan kok ya segendang sepenarian dalam irama yang sebenarnya menyedihkan RUUKPK KUHP dan Pemasyarakatan serentak bersamaan untuk mengebiri pemberantasan,masardys
36,36,2019-09-18 16:07:48+00:00,1174354341450285056,ahmad1 id Jakarta Yang harusnya di tunda itu RUU KPK dan RUU KUHP,YKurniawandy
37,37,2019-09-18 16:07:08+00:00,1174354174600826880,Tar kedepannya setelah ruu kuhp ngentats dan beranak kenchang bagian ngomongin kondom dipenjara HAHA,tsukinyem
38,38,2019-09-18 16:04:42+00:00,1174353564304461830,Terus masalah korupsi jadi pidana biasa ya mon maap dulu kaga keburu revisi kuhp buat masukin korupsi makanya ada uu sendiri,aulohora
39,39,2019-09-18 15:58:22+00:00,1174351969231626243,E sudah tidak R deng KUHP aja kan ud SAAAHHH,ACinantyaD
40,40,2019-09-18 15:49:17+00:00,1174349683356909568,KUHP,aderizkyputrii
41,41,2019-09-18 15:48:18+00:00,1174349435163136000,sebenarnya isinya ga beda jauh sama kuhp tapi lebih di perbesar lingkupnya btw mohon bantuannya untuk mengisi petisi ini ya Baca dan pahami dulu Tandatangani petisi di,elpeufairy
42,42,2019-09-18 15:32:01+00:00,1174345337605173248,breaking news semua penjual sextoy pidana krn melanggar kuhp,swextdemon
43,43,2019-09-18 15:26:29+00:00,1174343945695854592,Media rameee banget bahaa UU KPK Yang bahas RUU KUHP yg kontroversi malah bisa dihitung jari,MadeByArm
44,44,2019-09-18 15:21:31+00:00,1174342697269678080,Saya jg msh krg jelas waktu itu saya bc ada org hukum yg blg harusnya soal aborsi UU Kesehatan masih tetap berlaku krn hukum di Indonesia itu Lex Specialis Tapi pasal aborsi di KUHP yg tanpa pengecualian ini kan lebih baru jgn2 malah nanti putusannya mengikuti KUHP Entah,delia_a
45,45,2019-09-18 15:20:27+00:00,1174342427533905921,iki puisi Eneste semua gua juga miris ruu kuhp banyak gilanya ruu kpk juga sama ruu pembebasan bersyarayt balik ke tahun 1999 DPr skr kejar setoran demi kepentingan,ChaosnightTjm
46,46,2019-09-18 15:19:19+00:00,1174342142614917120,Lu melanggar kuhp privasi dan hak asasi kucing,yoseeunc
47,47,2019-09-18 15:17:44+00:00,1174341744835485697,Yg sesat itu anda bilang kalau penyadapan penyitaan dan penggeledahan itu bukan pro justitia bedakan dulu apa itu KUHAP dan apa itu KUHP hukum formil itu apa hukum materiil itu apa,dhimdiim
48,48,2019-09-18 15:15:14+00:00,1174341113316032513,Bukan nya sudah diatur dari dulu di dalam KUHP pasal 346 ya Seorang wanita yg sengaja menggugurkan kandungan nya ataupun menyuruh orang lain diancam pidana 4 tahun,DewanggaGiras
49,49,2019-09-18 15:08:03+00:00,1174339304870440961,RUU KUHP ngawur sih segala hubungan seksual dianggap sebagai zina Sementara pasal 284 KUHP yang masih berlaku skrg zina maknanya sama dengan selingkuh,katria_
50,50,2019-09-18 15:01:55+00:00,1174337763803451392,Jadi dalam UU Kesehatan yg skrg pun bukan RUU KUHP si korban ini tetap ga bisa aborsi Cuma yg dimasalahkan kan RKUHP bahkan ga ngasi pengecualian sama sekali bukan cuma spesifik ttg korban yg ini,delia_a
51,51,2019-09-18 14:57:26+00:00,1174336633551765504,Rizki Masalae d santet dadi ueenak yo gak mlebu kitab kuhp tp mlebu kitab 1000mimpi malian,foosha_eastblue
52,52,2019-09-18 14:54:38+00:00,1174335930624135168,semua kitab kita adalah warisan Belanda asas konkordasi mulai dari KUHP KUHAP KUHPer dan KUHD tentu ada hasrat menginginkan punya kitab sendiri at least menambah isi buku tapi tentu dengan tidak membuat aturan yang konyol bukan,olifeoktaviap
53,53,2019-09-18 14:54:20+00:00,1174335853620953093,Ada di dalam KUHP Pasal 1 ayat 1 Tiada suatu perbuatan dapat di pidana kecuali atas kekuatan aturan pidana dalam perundang undangan yang telah ada sebelum perbuatan dilakukan Pasal 35 ayat 1 Hak hak terpidana yang dengan putusan hakim dapat dicabut,Ary5Prasetyo
54,54,2019-09-18 14:53:52+00:00,1174335738613129216,Mungkin disuruh masturbasi aja biar ga kena ruu kuhp,anewbennybenno
55,55,2019-09-18 14:53:22+00:00,1174335612045807617,Intinya revisi KUHP ini banyak banget yang bermasalah pasal pasal yang biasanya jadi permasalahan pendukung Jokowi juga lolos,Chicoathalla
56,56,2019-09-18 14:46:35+00:00,1174333903634456576,lagi merevisi UU KUHP,ahlakpowerbank
57,57,2019-09-18 14:41:48+00:00,1174332699529531395,Hukuman tergantung kuhp dan hakim,TheArieAir
58,58,2019-09-18 14:40:46+00:00,1174332441374314496,Pandangan gw soal RUU KUHP part 2 final TolakRUUKUHP,sadiqadhetyo
59,59,2019-09-18 14:39:32+00:00,1174332129729056768,3 Revisi Undang Undang KPK KUHP dan Pemasyarakatan serentak bersamaan untuk mengebiri pemberantasan MataNajwaKiamatPemberantasanKorupsi,MataNajwa
60,60,2019-09-18 14:35:40+00:00,1174331158017929217,Penyidikan dan penyelidikan itu namanya hukum acara mas dasarnya KUHAP bukan KUHP KUHP itu hukum materiil UU KPK itu sifat lex specialis derogat lex generalis dia punya hukum acara sendiri dlm UU yg baru itu kpk sbg lembaga pemerintah amp pegawainya ASN bkn independen spt skrg,dhimdiim
61,61,2019-09-18 14:32:43+00:00,1174330413797396480,UU KPK independen Perkara dlm proses penyidik jg independen bekerja dasarnya KUHP 1500 lbh pegawai KPK bukan hanya penyidik Staf administrasi yg ditekan apanya Kalau ada masalah penekanan penyidik mestinya udah tjd dr dulu penyidik amp penuntut KPK dr Polri amp kejaksaan,__MV_llestari__
62,62,2019-09-18 14:31:18+00:00,1174330058556620801,Yang mana nih RUU KUHP atau Imam Nahrowi,anggaalbary
63,63,2019-09-18 14:30:13+00:00,1174329785440276480,Tapi sisi positif RUU KUHP ini kita bisa menjarain pelakor yang kita semua sepakat benci sih heh,FIS_FI
64,64,2019-09-18 14:30:05+00:00,1174329751571288065,Kemudian ada pasal yang mempidana kelompok marjinal seperti pengamen tunawisma dan pengemis Dalam Pasal 505 KUHP gelandangan diancam hukuman kurungan penjara tiga bulan Padahal seharusnya kelompok terpinggirkan seperti mereka dipelihara oleh negara sesuai dengan UUD 1945,mediakita_kpppa
65,65,2019-09-18 14:28:46+00:00,1174329418874884096,atas dasar hukum yang memang sudah mengatur itu lah yang ngebuat gue merasa biasa aja gatau salahnya dimana karna gue sangat berpegang terhadap isi pasal dari KUHP trus kenapa orang orang baru heboh nya sekarang ya hahaha entahlah cmiiw,olifeoktaviap
66,66,2019-09-18 14:27:12+00:00,1174329026606878720,kuhp ghaib ini,ensiklofedi
67,67,2019-09-18 14:23:51+00:00,1174328181899182080,faktanya 2 point diatas memang sudah diatur dalam KUHP teman teman 1 Pasal 299 346 347 348 349 2 Pasal 504 505 engga perlu gue jabarin isi pasalnya ya bisa dicari sendiri,olifeoktaviap
68,68,2019-09-18 14:21:40+00:00,1174327634769002497,BJ risnandi Mengkritik pemerintah walau RUU KUHP yg baru sangatlah mengerikan,naufalelsa
69,69,2019-09-18 14:16:58+00:00,1174326452931612675,ngko nek ruu kuhp sing anyar ngomong opo wae iso dadi ngelek2 asal sing d omongke merasa tersinggung wkwkkw,channy_v174
70,70,2019-09-18 14:15:44+00:00,1174326141508714496,Laksono Gusdur 23 tahun kemudian menangis lihat Kerusuhan Papua Revisi UU KPK Karhutla Korupsi RUU KUHP,99garislucu
71,71,2019-09-18 14:09:14+00:00,1174324506069848064,Sabar kalo benar KUHP terbaru terbit laporin aja semuanya,dulbadik
72,72,2019-09-18 14:07:38+00:00,1174324100187115520,Bandingkan sama pasal 284 KUHP yang masih berlaku Perbedaannya ada pada ancaman pidananya serta perluasan makna zinah atau zina Jika pada KUHP yg masih berlaku zinah itu sama maknanya dengan selingkuh Kemudian pda RUUKUHP segala hubungan seksual masuk dlm pidana zina,chandraabuana
73,73,2019-09-18 14:06:36+00:00,1174323840995876865,id Speak up dong soal RUU KUHP dan RUU KPK,AnggaNug10
74,74,2019-09-18 14:05:55+00:00,1174323668098277376,aku juga termasuk yg melihat RUU KUHP ini masih jauh dari SEMPURNA IMHO ini gegara para perumus amp pengkaji gak mungkin memprediksi SEMUA SKENARIO KEMUNGKINAN terjadinya sebuah peristiwa pidana belum lagi kalo debatnya sudah IDEOLOGIS PRO LIFE vs PRO CHOICE,jjsengui
75,75,2019-09-18 13:59:36+00:00,1174322078566121472,ar EMANG SEMUA PIDANA di KUHP LAMA DICABUT SEMUA,jjsengui
76,76,2019-09-18 13:58:58+00:00,1174321923209056257,Dan yg paling serem dan ngeri itu ruu kuhp yg mau disahkan bulan ini Serius silahkan baca sendiri Bayangin seorang gelandangan kalo ketangkap musti bayar denda 10jt Halo kalo gelandangan punya uang segitu ya dia bakal tidur di hotel bukan di jalan,daimyosama
77,77,2019-09-18 13:56:58+00:00,1174321419800334337,hunter146 Sy tidak anti revisi UU broo tetapi kalau revisi UU itu justru membuat Negara ini lebih carut marut yaaa harus tetap dikritisi dan bila perlu dilawan mis UU KPK KUHP PB dan tidak segera diSAHkannya UU PKS,harihariono1
78,78,2019-09-18 13:56:06+00:00,1174321199578415104,ar Emang KUHP sekarang zinah bukan delik aduan,PademiCovid19
79,79,2019-09-18 13:50:22+00:00,1174319756393869313,Sejujurnya saya hanya mengingat produk2 UU karet tidak jelas dari masa DPR sekarang ini UU ITE RUU permusikan UU KPK dan yg paling ngeri RUU KUHP,daimyosama
80,80,2019-09-18 13:46:24+00:00,1174318760271859712,Setelah KPK berikutnya KUHP Otak atik terus tuk mengakomodir pesanan,navieonline
81,81,2019-09-18 13:36:52+00:00,1174316359326416896,Sesuai pasal berapa gitu di RUU KUHP yg baru disahkan Hal yg berhubungan dengan Marxisme dan nama Karl Marx dapat dipenjara dan terkena denda,dimasklvn
82,82,2019-09-18 13:35:21+00:00,1174315977938309121,Mungkin saking hopelessnya pemerintah daripada ngasih sex edu mending di KUHP aja Seks bebas only works di negara maju yg udah pada pinter2 pake kondom kalo ngga ya ngeue hamil ngeue hamil,_alice_in_w
83,83,2019-09-18 13:34:35+00:00,1174315784274735104,Saya kira yg didemo RUU KUHP dan Revisi UU KPK dari Hongkong,AdrielSoekarno
84,84,2019-09-18 13:33:00+00:00,1174315386164039681,Koreksi harus sambut baik KUHP hasil produk indonesia,swafitrianidita
85,85,2019-09-18 13:31:15+00:00,1174314947360124929,Di RUU KUHP ada ini juga Sedih,amaliluthfi19
86,86,2019-09-18 13:30:02+00:00,1174314637866586113,Lah gw aja ga paham ngapa jd pada riweh kuhp di kampus Apa hubungan nya gt,Eufraciaindah
87,87,2019-09-18 13:23:33+00:00,1174313007515463681,Ga jelas Bubrah kalau ntar KUHP disahkan,nangdi11
88,88,2019-09-18 13:20:46+00:00,1174312309230981120,Wendywalters Awas kena UU KUHP ntar,FIS_FI
89,89,2019-09-18 13:18:09+00:00,1174311650498772998,RUU KUHP Kritik Kebijakan Pemerintah Tak Termasuk Penghinaan Presiden,yunaidi_indra
90,90,2019-09-18 13:11:27+00:00,1174309963629395970,setelah 24 september anda akan kena pasal 241 KUHP baru karena ini NINU NINU NINU NINU,CokelatIsep
91,91,2019-09-18 13:03:04+00:00,1174307851432448001,Revisi UU KPK KUHP dan Pemasyarakatan membuat korupsi jadi kejahatan yang ringan MataNajwaKiamatPemberantasanKorupsi,MataNajwa
92,92,2019-09-18 12:59:03+00:00,1174306840890339328,Bening kira kira crossfaith culinary kalo di sahkan Ruu KUHP ini kena pasal ng loo cok,qzae200
93,93,2019-09-18 12:53:11+00:00,1174305364994510849,Apa gapunya hati ya yg ngerancang ruu kuhp Kasian si cewe udah menderita malah d buat menderita,chiicku
94,94,2019-09-18 12:50:15+00:00,1174304629191917568,Buzzer RUU KUHP yg disahkan gimana tanggapannya,Mujamuju2
95,95,2019-09-18 12:49:45+00:00,1174304501953486848,HAKIM Hubungi Aku Kalau Ingin Menang KUHP Kasih Uang Habis Perkara,JA29_
96,96,2019-09-18 12:49:33+00:00,1174304452058046465,Kenapa RUU PKS Kenapa RUU PKS tidak dileburkan menjadi satu dalam RUU KUHP Apakah kekerasan seksual bagian dari pidana khusus sehingga harus dikeluarkan dari KUHP,wildanhavaza
97,97,2019-09-18 12:48:38+00:00,1174304219072847873,Mbak aturan yang berlaku sekarang memang seperti itu Di UU Kesehatan No 36 Tahun 2009 Pasa 75 2 disebutkan aborsi karena kasus perkosaan hanya dibolehkan untuk usia kandungan 6 minggu Bukan karena KUHP Baru,aewin86
98,98,2019-09-18 12:45:54+00:00,1174303533270614017,Tetapi intinya ane soroti bukan itu Ane soroti adlh hal salah kaprah bagi pemuja ji kl anggap Presiden itu Simbol Negara Presiden lbh pas dtempatkan sbg Kepala Negara yg dlm sistim demokrasi qt dpt dkritik yaa sbelum ntr KUHP baru sah gaes kwkwkwkw,aan_luna
99,99,2019-09-18 12:41:31+00:00,1174302428767768576,gak ada yang aman mbak kalok jodohku ternyata terpaksa menuruti KUHP kan sama aja ekwkwwk,tutuspambudi
100,100,2019-09-18 12:37:27+00:00,1174301407207280640,Cape nanti gue bisa bisa belajar dua KUHP Pasal 417 KUHP lama bahasnya kejahatan jabatan pasal 417 RKUHP bahasnya kejahatan perkelaminan,AESPAYlZHOU
101,101,2019-09-18 12:32:21+00:00,1174300123171418112,Perzinaan amp prostitusi emang ada di kuhp Ruu pks ini lebih buat melindungi hak korban kekerasan seksual Yang gue bingung kok ada pendapat kalo ruu ini justru mendorong seks bebas Dibilang menentang pancasila segala lah Kalo emang ada yg kurang ya direvisi bukan ditolak,hnnsha
